Date(Y.YYY),Rain(mm)
1968.001,6.6
1968.004,3.6
1968.007,0.3
1968.01,6.9
1968.012,1
1968.015,8.1
1968.018,0
1968.02,21.1
1968.023,0.3
1968.026,0
1968.029,0
1968.031,3.3
1968.034,4.8
1968.037,0.5
1968.04,0
1968.042,1
1968.045,0
1968.048,2
1968.051,0
1968.053,0
1968.056,0
1968.059,0
1968.061,0
1968.064,0.8
1968.067,0
1968.07,0
1968.072,1
1968.075,0
1968.078,1
1968.081,0
1968.083,0.3
1968.086,0.8
1968.089,0.3
1968.092,0
1968.094,5.6
1968.097,4.3
1968.1,0.8
1968.102,0
1968.105,0.3
1968.108,0
1968.111,0
1968.113,1.8
1968.116,0.5
1968.119,11.9
1968.122,0
1968.124,0
1968.127,0.3
1968.13,0
1968.133,0
1968.135,0
1968.138,0
1968.141,1.3
1968.143,0
1968.146,0
1968.149,0
1968.152,0
1968.154,0
1968.157,0
1968.16,0
1968.163,0
1968.165,0
1968.168,0
1968.171,0
1968.173,0
1968.176,0.8
1968.179,0
1968.182,0
1968.184,0
1968.187,0
1968.19,0
1968.193,0
1968.195,0
1968.198,0.5
1968.201,0.5
1968.204,0.3
1968.206,0.8
1968.209,1.3
1968.212,0
1968.214,0.8
1968.217,1
1968.22,0.8
1968.223,2.8
1968.225,0.3
1968.228,3
1968.231,0
1968.234,0
1968.236,0
1968.239,0
1968.242,0
1968.245,4.3
1968.247,0
1968.25,2
1968.253,2.3
1968.255,0
1968.258,0
1968.261,0
1968.264,0
1968.266,0
1968.269,0
1968.272,0
1968.275,0
1968.277,0
1968.28,0.3
1968.283,0
1968.286,0
1968.288,1.8
1968.291,4.1
1968.294,9.1
1968.296,9.1
1968.299,0.8
1968.302,0
1968.305,0
1968.307,1
1968.31,0.8
1968.313,0
1968.316,0
1968.318,0
1968.321,8.6
1968.324,8.1
1968.327,3
1968.329,4.1
1968.332,0.3
1968.335,7.1
1968.337,0
1968.34,10.9
1968.343,0.8
1968.346,5.6
1968.348,1
1968.351,5.6
1968.354,0.3
1968.357,3.8
1968.359,2
1968.362,0.5
1968.365,5.1
1968.367,0
1968.37,0
1968.373,0.3
1968.376,7.9
1968.378,4.6
1968.381,0
1968.384,0
1968.387,0
1968.389,0
1968.392,0
1968.395,5.1
1968.398,8.1
1968.4,0.8
1968.403,0.8
1968.406,0
1968.408,0
1968.411,0
1968.414,0
1968.417,0
1968.419,0
1968.422,11.2
1968.425,0.5
1968.428,7.4
1968.43,0
1968.433,2
1968.436,0.3
1968.439,0
1968.441,0
1968.444,0
1968.447,0
1968.449,0
1968.452,0
1968.455,0
1968.458,0
1968.46,0
1968.463,0
1968.466,0.3
1968.469,1.5
1968.471,6.3
1968.474,3.3
1968.477,5.6
1968.48,4.6
1968.482,2
1968.485,4.1
1968.488,14.5
1968.49,0.5
1968.493,0
1968.496,0.3
1968.499,0
1968.501,0
1968.504,0
1968.507,0
1968.51,0
1968.512,0
1968.515,5.1
1968.518,2.5
1968.52,2.5
1968.523,25.4
1968.526,0
1968.529,0
1968.531,20.3
1968.534,2.5
1968.537,0
1968.54,5.1
1968.542,0
1968.545,0
1968.548,0
1968.551,0
1968.553,0
1968.556,2.5
1968.559,0
1968.561,0
1968.564,0
1968.567,0
1968.57,0
1968.572,0
1968.575,0
1968.578,0
1968.581,15.2
1968.583,0
1968.586,0
1968.589,0
1968.592,0
1968.594,0
1968.597,7.6
1968.6,5.1
1968.602,12.7
1968.605,7.6
1968.608,0
1968.611,0
1968.613,0
1968.616,2.5
1968.619,0
1968.622,5.1
1968.624,10.2
1968.627,5.1
1968.63,0
1968.633,0
1968.635,0
1968.638,0
1968.641,0
1968.643,0
1968.646,0
1968.649,0
1968.652,0
1968.654,2.5
1968.657,5.1
1968.66,0
1968.663,0
1968.665,0.8
1968.668,7.6
1968.671,2.5
1968.673,0
1968.676,0
1968.679,2.5
1968.682,0
1968.684,0
1968.687,0
1968.69,0
1968.693,17.8
1968.695,0
1968.698,5.1
1968.701,0
1968.704,20.3
1968.706,50.8
1968.709,2.5
1968.712,0
1968.714,0
1968.717,5.1
1968.72,0
1968.723,2.5
1968.725,2.5
1968.728,0
1968.731,0
1968.734,7.6
1968.736,0
1968.739,2.5
1968.742,7.6
1968.745,2.5
1968.747,0
1968.75,0
1968.753,0
1968.755,0
1968.758,0
1968.761,0
